Date,APA,AXP,BAC,C,CMS,COF,CSCO,DAL,DUK,EQIX,F,GE,GS,IBM,JPM,KEY,KR,MS,NFLX,PFE,PNC,PRU,REGN,SCHW,TFC,USB,WFC,WMT,XOM
2025-01-02,22.760255813598633,296.7448425292969,44.01225280761719,68.90799713134766,65.51885986328125,178.1796112060547,58.310691833496094,58.926395416259766,106.83121490478516,939.3456420898438,9.21022891998291,168.2769012451172,572.1329345703125,217.04013061523438,237.30516052246094,16.774999618530273,61.63798904418945,122.96855926513672,886.72998046875,25.687196731567383,187.87074279785156,116.83879852294922,714.2720947265625,73.36006927490234,42.28185272216797,47.29374313354492,69.46408081054688,89.53704071044922,106.35865020751953
2025-01-03,22.799198150634766,302.0771484375,44.52899169921875,69.95234680175781,65.59764099121094,179.8944854736328,58.46963119506836,58.856563568115234,106.79158020019531,955.0042114257812,9.42974853515625,171.64065551757812,577.2675170898438,219.71438598632812,240.54833984375,17.08125877380371,61.16033172607422,124.11172485351562,881.0499877929688,25.667888641357422,192.03277587890625,117.69827270507812,717.2283325195312,73.96610260009766,43.03322219848633,48.28191375732422,70.57249450683594,90.31302642822266,106.90377807617188
2025-01-06,23.032835006713867,300.8811340332031,45.115291595458984,71.66667175292969,64.42572784423828,182.97532653808594,58.38022994995117,59.894039154052734,105.39451599121094,935.1375122070312,9.467926025390625,172.12974548339844,580.511474609375,219.734130859375,239.3755645751953,17.170169830322266,60.324424743652344,126.77252197265625,881.7899780273438,25.957483291625977,191.99351501464844,117.2043228149414,715.3407592773438,73.99591064453125,43.03322219848633,48.15345001220703,71.28504943847656,90.95968627929688,106.78483581542969
2025-01-07,23.032835006713867,301.0206604003906,45.7910270690918,72.59280395507812,64.71131896972656,181.35015869140625,58.53916931152344,61.03126525878906,105.83047485351562,935.2071533203125,9.315216064453125,171.99000549316406,577.257568359375,221.0071258544922,241.6813507080078,16.982465744018555,58.85164260864258,125.0380630493164,879.1900024414062,26.18916130065918,191.18858337402344,117.73779296875,729.3627319335938,71.79033660888672,42.906368255615234,48.12380599975586,70.84959411621094,90.3428726196289,107.785888671875
2025-01-08,23.052305221557617,301.8479309082031,45.92021179199219,72.17900085449219,65.29235076904297,179.6053466796875,58.807376861572266,61.27067947387695,107.23745727539062,946.1204223632812,9.296128273010254,172.5689239501953,577.1580810546875,220.23739624023438,241.6416015625,16.903430938720703,58.612815856933594,126.00384521484375,875.0,25.928525924682617,191.10023498535156,116.99686431884766,732.6485595703125,72.52552795410156,42.8868522644043,47.9459342956543,70.82980346679688,91.32778930664062,105.98202514648438
2025-01-10,23.052305221557617,292.3294982910156,44.827110290527344,70.34645080566406,64.10073852539062,174.76974487304688,58.35042953491211,66.7872314453125,104.89910125732422,895.1753540039062,9.21022891998291,171.37115478515625,557.2368774414062,216.85263061523438,238.40155029296875,16.518138885498047,58.83173751831055,121.6578598022461,837.6900024414062,25.793380737304688,185.5443115234375,113.14405822753906,695.985595703125,72.2970199584961,41.74515151977539,46.81942367553711,69.2364501953125,92.5216064453125,105.5954818725586
2025-01-13,23.733749389648438,296.0372009277344,44.77742385864258,71.69622802734375,64.00225830078125,179.79478454589844,58.37029266357422,64.94173431396484,105.16661834716797,894.9962768554688,9.267495155334473,171.2513885498047,560.1723022460938,214.5336151123047,242.71499633789062,16.814517974853516,59.1999397277832,122.19002532958984,840.2899780273438,25.870603561401367,188.8916015625,114.88275909423828,715.9799194335938,72.187744140625,42.07693099975586,47.81747055053711,69.80055236816406,91.05917358398438,108.32109832763672
2025-01-14,24.1912899017334,299.36614990234375,45.4929084777832,72.41545867919922,64.5635986328125,184.17176818847656,58.93651580810547,66.12884521484375,105.87010955810547,893.4443359375,9.334304809570312,176.53155517578125,568.7099609375,214.87899780273438,245.9550323486328,17.268962860107422,59.627838134765625,122.81088256835938,828.4000244140625,25.494131088256836,192.11131286621094,116.1867904663086,689.9833374023438,71.86981964111328,42.84782028198242,48.47954559326172,70.4537353515625,90.32298278808594,108.7472915649414
2025-01-15,24.775386810302734,311.2865905761719,46.804630279541016,77.11507415771484,65.59764099121094,190.1140594482422,59.58220291137695,65.34076690673828,105.4737777709961,895.3543701171875,9.496557235717773,179.95516967773438,602.9302368164062,217.12893676757812,250.80516052246094,17.92099380493164,58.40383529663086,128.65480041503906,848.260009765625,25.310718536376953,198.37612915039062,118.60713958740234,702.5272216796875,73.18124389648438,44.29201889038086,50.29777526855469,75.16449737548828,90.87014770507812,110.52142333984375
2025-01-16,24.48333740234375,310.4493713378906,46.34751510620117,77.3515396118164,66.9862060546875,187.88072204589844,59.42326354980469,66.01911163330078,108.0598373413086,915.131591796875,9.553823471069336,179.4062042236328,609.9653930664062,219.72425842285156,252.71340942382812,17.624616622924805,58.33417892456055,133.8384246826172,842.3699951171875,25.57135581970215,194.5162811279297,116.96723175048828,692.3402709960938,75.01921844482422,43.891937255859375,47.46173095703125,75.16449737548828,90.83036041259766,110.33309936523438
