Date,JPM,WFC,BAC,C,GS,USB,MS,KEY,PNC,COF,AXP,PRU,SCHW,TFC,KR,PFE,XOM,WMT,DAL,CSCO,IBM,EQIX,DUK,NFLX,GE,APA,F,REGN,CMS
2008-09-02,25.57258415222168,20.12465476989746,24.545665740966797,141.46408081054688,124.77227783203125,19.77570343017578,28.64565658569336,7.675062656402588,46.4061393737793,34.121788024902344,31.220661163330078,41.67026138305664,19.48838996887207,16.758745193481445,10.229764938354492,9.147342681884766,42.29551315307617,13.953141212463379,7.99965238571167,15.636460304260254,64.30764770507812,61.21822738647461,24.647531509399414,4.40571403503418,91.5461196899414,79.5586929321289,2.4127001762390137,20.553586959838867,7.770042419433594
2008-09-03,26.04482078552246,19.995695114135742,25.289939880371094,145.1653594970703,126.5006103515625,20.13003921508789,29.249094009399414,7.742068767547607,46.835838317871094,34.68389892578125,31.435827255249023,42.77874755859375,19.512571334838867,16.94906234741211,10.22608470916748,9.161661148071289,42.67842102050781,13.98588752746582,7.947310924530029,15.346771240234375,64.26963806152344,60.61323928833008,24.334823608398438,4.415713787078857,91.67444610595703,80.41160583496094,2.4447989463806152,21.77202033996582,7.678694725036621
2008-09-04,24.864240646362305,19.13164520263672,23.4791316986084,135.4678955078125,121.43633270263672,19.33582878112793,27.979795455932617,7.260852336883545,45.97013473510742,32.91399002075195,29.776037216186523,41.4119873046875,18.988685607910156,16.32917594909668,10.027376174926758,8.908760070800781,41.6500244140625,13.983551025390625,7.816455364227295,14.668649673461914,62.45572280883789,58.60918426513672,24.576465606689453,4.2671427726745605,88.8828353881836,82.31938171386719,2.348504066467285,20.353843688964844,7.6901116371154785
2008-09-05,25.972665786743164,20.118215560913086,24.729812622070312,141.16796875,123.20246124267578,20.001739501953125,28.687273025512695,7.900441646575928,46.94325637817383,33.962284088134766,30.275503158569336,42.36980056762695,19.415849685668945,17.302501678466797,9.887545585632324,8.832413673400879,41.36556625366211,14.208111763000488,7.685595989227295,14.655482292175293,62.091827392578125,58.601619720458984,24.604900360107422,4.237143039703369,89.46041870117188,83.36678314208984,2.359203577041626,19.04552459716797,7.615896224975586
2008-09-08,27.251636505126953,21.639972686767578,26.648038864135742,150.42111206054688,128.1006622314453,20.734861373901367,30.012046813964844,8.369473457336426,48.51667022705078,37.01591491699219,31.136138916015625,45.69523239135742,20.326597213745117,18.634727478027344,10.04577350616455,9.133036613464355,41.994651794433594,14.502846717834473,7.493678092956543,15.38627815246582,63.699371337890625,58.61674118041992,25.40089225769043,4.307143211364746,93.3429946899414,82.12486267089844,2.4340999126434326,18.875743865966797,7.849971771240234
2008-09-09,25.88741111755371,20.09886932373047,24.95232391357422,139.761474609375,122.01751708984375,19.586313247680664,28.021411895751953,8.01008129119873,46.033329010009766,34.56235122680664,29.384143829345703,42.940181732177734,18.932275772094727,17.39494514465332,10.284956932067871,8.70357894897461,40.07461166381836,14.299339294433594,7.179621696472168,15.122923851013184,62.477394104003906,56.02281951904297,25.727819442749023,4.105713844299316,90.23052215576172,75.22689056396484,2.353854179382324,18.496231079101562,7.661571025848389
2008-09-10,25.84149742126465,20.44061851501465,24.860246658325195,138.2808837890625,118.93820190429688,19.45802116394043,26.994888305664062,7.650698661804199,44.77587127685547,34.623130798339844,29.322673797607422,42.92942428588867,19.174062728881836,17.09044075012207,10.295995712280273,8.684491157531738,41.16317367553711,14.507524490356445,6.8655686378479,15.13609790802002,64.1067123413086,54.956512451171875,25.40089225769043,4.107142925262451,90.13424682617188,78.82549285888672,2.3913016319274902,19.40506362915039,7.735784530639648
2008-09-11,27.317218780517578,21.82696533203125,25.366666793823242,137.76272583007812,118.51554107666016,20.55158233642578,26.849220275878906,7.7968902587890625,46.14073944091797,35.200439453125,29.783737182617188,44.263916015625,19.74629783630371,17.862586975097656,10.376949310302734,8.775154113769531,41.33274841308594,14.776533126831055,7.05748987197876,15.175594329833984,64.73668670654297,57.54288101196289,25.898391723632812,4.118570804595947,90.35884094238281,81.55628204345703,2.503645181655884,20.553586959838867,7.758622169494629
2008-09-12,27.002391815185547,22.110685348510742,25.888416290283203,132.95101928710938,116.38722229003906,20.66765022277832,25.822708129882812,8.144092559814453,46.109161376953125,34.89659118652344,29.929731369018555,43.365264892578125,19.319129943847656,18.515094757080078,10.262882232666016,8.884902954101562,42.39397048950195,14.598749160766602,7.092385768890381,15.44553279876709,64.61177062988281,58.17813491821289,26.01210594177246,4.2071428298950195,85.83450317382812,84.08504486083984,2.6266863346099854,20.683420181274414,7.872804164886475
2008-09-15,24.267396926879883,19.9892520904541,20.371597290039062,112.81587219238281,102.26622772216797,20.172813415527344,22.326955795288086,7.547144412994385,44.49782943725586,33.95467758178711,27.263328552246094,39.033607482910156,18.295543670654297,17.645076751708984,9.784513473510742,8.612915992736816,40.06912612915039,14.416301727294922,7.022594451904297,14.734484672546387,62.55888366699219,54.638885498046875,25.38666534423828,4.015714168548584,78.93566131591797,78.09980010986328,2.5357420444488525,20.423755645751953,7.558804512023926
2008-09-16,26.720375061035156,22.523366928100586,22.673463821411133,116.59124755859375,100.38689422607422,21.547395706176758,19.906301498413086,7.693335056304932,48.51667022705078,37.25138473510742,27.71670150756836,42.60655212402344,20.536151885986328,19.613492965698242,10.299674987792969,8.498394966125488,41.80868148803711,14.535601615905762,8.671377182006836,15.011005401611328,63.02593994140625,56.6202507019043,25.642534255981445,4.065713882446289,80.41167449951172,81.42906188964844,2.712282180786133,21.612226486206055,7.244804859161377
2008-09-17,23.460668563842773,21.556150436401367,20.87034034729004,103.85873413085938,86.41680908203125,20.368301391601562,15.085782051086426,7.3217668533325195,45.4709358215332,35.200439453125,25.38840103149414,39.79769515991211,18.36003303527832,19.270925521850586,9.898582458496094,8.193004608154297,41.179588317871094,13.950800895690918,7.851346492767334,14.352619171142578,60.53855895996094,54.94138717651367,24.704391479492188,4.122857093811035,75.05304718017578,79.7382583618164,2.642735719680786,20.853200912475586,6.902261734008789
2008-09-18,26.431774139404297,23.85813331604004,23.463787078857422,123.25353240966797,81.51106262207031,22.463783264160156,15.640663146972656,8.03445053100586,49.91944885253906,41.019073486328125,28.984569549560547,45.19480895996094,19.262720108032227,21.47859764099121,9.869145393371582,8.584282875061035,42.53071975708008,14.381210327148438,8.243914604187012,15.011005401611328,62.52082824707031,57.96638107299805,26.42432403564453,4.434286117553711,80.61371612548828,84.68356323242188,2.8246262073516846,22.95050621032715,7.090663909912109
2008-09-19,30.858945846557617,25.663612365722656,28.75811004638672,152.86407470703125,97.9642105102539,23.2091121673584,18.872835159301758,9.063885688781738,51.31596374511719,42.576271057128906,31.043928146362305,46.41090393066406,20.35077667236328,22.370357513427734,9.950098991394043,8.85150146484375,43.54817199707031,13.964838027954102,8.435836791992188,15.991987228393555,64.54658508300781,63.986114501953125,25.54303741455078,4.562857151031494,86.56462097167969,90.6388931274414,2.82997465133667,23.04039192199707,7.364697456359863
